SPARE-19;Spare Part 19;Description for spare part 19;TIRE;RESERVED;35;41;2025-10-03T11:34:45.761104057
SPARE-20;Spare Part 20;Description for spare part 20;BATTERY;IN_TRANSIT;48;7;2025-10-03T11:34:45.761133328
SPARE-21;Spare Part 21;Description for spare part 21;RADIATOR;IN_TRANSIT;14;22;2025-10-03T11:34:45.761143448
SPARE-22;Spare Part 22;Description for spare part 22;ENGINE;DAMAGED;20;26;2025-10-03T11:34:45.761160076
SPARE-23;Spare Part 23;Description for spare part 23;GEARBOX;RESERVED;4;43;2025-10-03T11:34:45.761169865
SPARE-24;Spare Part 24;Description for spare part 24;BRAKE;RESERVED;6;7;2025-10-03T11:34:45.761182435
SPARE-25;Spare Part 25;Description for spare part 25;RADIATOR;DAMAGED;11;37;2025-10-03T11:34:45.761199185
SPARE-26;Spare Part 26;Description for spare part 26;GEARBOX;AVAILABLE;20;15;2025-10-03T11:34:45.761209317
SPARE-27;Spare Part 27;Description for spare part 27;BRAKE;DAMAGED;12;1;2025-10-03T11:34:45.761222027
SPARE-28;Spare Part 28;Description for spare part 28;RADIATOR;DAMAGED;21;35;2025-10-03T11:34:45.761231419
SPARE-29;Spare Part 29;Description for spare part 29;GEARBOX;OUT_OF_STOCK;31;43;2025-10-03T11:34:45.761248677
SPARE-30;Spare Part 30;Description for spare part 30;CLUTCH;RESERVED;24;36;2025-10-03T11:34:45.761257378
SPARE-31;Spare Part 31;Description for spare part 31;BATTERY;RESERVED;49;39;2025-10-03T11:34:45.761268394
SPARE-32;Spare Part 32;Description for spare part 32;ENGINE;AVAILABLE;21;33;2025-10-03T11:34:45.761285748
SPARE-33;Spare Part 33;Description for spare part 33;TIRE;OUT_OF_STOCK;35;30;2025-10-03T11:34:45.761295024
SPARE-34;Spare Part 34;Description for spare part 34;BATTERY;AVAILABLE;29;45;2025-10-03T11:34:45.761304832
SPARE-35;Spare Part 35;Description for spare part 35;ENGINE;IN_TRANSIT;27;48;2025-10-03T11:34:45.761322172
SPARE-36;Spare Part 36;Description for spare part 36;RADIATOR;RESERVED;41;12;2025-10-03T11:34:45.761331815
SPARE-37;Spare Part 37;Description for spare part 37;TIRE;RESERVED;16;45;2025-10-03T11:34:45.761340273
SPARE-38;Spare Part 38;Description for spare part 38;TIRE;DAMAGED;26;17;2025-10-03T11:34:45.761359589
SPARE-39;Spare Part 39;Description for spare part 39;GEARBOX;OUT_OF_STOCK;33;45;2025-10-03T11:34:45.761369874
SPARE-40;Spare Part 40;Description for spare part 40;TIRE;IN_TRANSIT;22;42;2025-10-03T11:34:45.761378382
SPARE-41;Spare Part 1;Description for spare part 1;GEARBOX;RESERVED;47;13;2025-10-03T11:34:45.761589294
SPARE-42;Spare Part 2;Description for spare part 2;ENGINE;AVAILABLE;41;40;2025-10-03T11:34:45.761627239
SPARE-43;Spare Part 3;Description for spare part 3;TIRE;DAMAGED;42;2;2025-10-03T11:34:45.763365677
SPARE-44;Spare Part 4;Description for spare part 4;CLUTCH;AVAILABLE;44;48;2025-10-03T11:34:45.763487859
SPARE-45;Spare Part 5;Description for spare part 5;GEARBOX;RESERVED;3;50;2025-10-03T11:34:45.763760236
SPARE-46;Spare Part 6;Description for spare part 6;TIRE;RESERVED;40;33;2025-10-03T11:34:45.763787576
SPARE-47;Spare Part 7;Description for spare part 7;BRAKE;IN_TRANSIT;45;19;2025-10-03T11:34:45.763809969
SPARE-48;Spare Part 8;Description for spare part 8;BATTERY;AVAILABLE;43;38;2025-10-03T11:34:45.763864676
SPARE-49;Spare Part 9;Description for spare part 9;BATTERY;IN_TRANSIT;39;12;2025-10-03T11:34:45.764168629
SPARE-50;Spare Part 10;Description for spare part 10;GEARBOX;IN_TRANSIT;30;34;2025-10-03T11:34:45.764194462
SPARE-51;Spare Part 11;Description for spare part 11;TIRE;OUT_OF_STOCK;37;36;2025-10-03T11:34:45.764226139
SPARE-52;Spare Part 12;Description for spare part 12;RADIATOR;RESERVED;18;34;2025-10-03T11:34:45.764238365
SPARE-53;Spare Part 13;Description for spare part 13;GEARBOX;IN_TRANSIT;37;8;2025-10-03T11:34:45.764251114
SPARE-54;Spare Part 14;Description for spare part 14;TIRE;AVAILABLE;25;19;2025-10-03T11:34:45.764267375
SPARE-55;Spare Part 15;Description for spare part 15;CLUTCH;AVAILABLE;25;5;2025-10-03T11:34:45.764278516
SPARE-56;Spare Part 16;Description for spare part 16;BRAKE;DAMAGED;41;48;2025-10-03T11:34:45.764288386
SPARE-57;Spare Part 17;Description for spare part 17;GEARBOX;OUT_OF_STOCK;22;44;2025-10-03T11:34:45.764297452
SPARE-58;Spare Part 18;Description for spare part 18;CLUTCH;DAMAGED;31;30;2025-10-03T11:34:45.764313715
SPARE-59;Spare Part 19;Description for spare part 19;TIRE;AVAILABLE;34;30;2025-10-03T11:34:45.764322720
SPARE-60;Spare Part 20;Description for spare part 20;ENGINE;AVAILABLE;43;16;2025-10-03T11:34:45.764333020
SPARE-61;Spare Part 21;Description for spare part 21;TIRE;OUT_OF_STOCK;38;11;2025-10-03T11:34:45.764349600
SPARE-62;Spare Part 22;Description for spare part 22;TIRE;AVAILABLE;20;8;2025-10-03T11:34:45.764359021
SPARE-63;Spare Part 23;Description for spare part 23;ENGINE;DAMAGED;27;42;2025-10-03T11:34:45.764368570
SPARE-64;Spare Part 24;Description for spare part 24;BATTERY;IN_TRANSIT;33;44;2025-10-03T11:34:45.764385907
SPARE-65;Spare Part 25;Description for spare part 25;CLUTCH;RESERVED;46;42;2025-10-03T11:34:45.764395538
SPARE-66;Spare Part 26;Description for spare part 26;TIRE;RESERVED;21;18;2025-10-03T11:34:45.764404039
SPARE-67;Spare Part 27;Description for spare part 27;RADIATOR;AVAILABLE;10;8;2025-10-03T11:34:45.764426971
SPARE-68;Spare Part 28;Description for spare part 28;RADIATOR;DAMAGED;26;12;2025-10-03T11:34:45.764437906
SPARE-69;Spare Part 29;Description for spare part 29;BRAKE;DAMAGED;13;44;2025-10-03T11:34:45.764446613
SPARE-70;Spare Part 30;Description for spare part 30;BRAKE;IN_TRANSIT;39;44;2025-10-03T11:34:45.764455012
SPARE-71;Spare Part 31;Description for spare part 31;TIRE;IN_TRANSIT;44;40;2025-10-03T11:34:45.764475240
SPARE-72;Spare Part 32;Description for spare part 32;RADIATOR;IN_TRANSIT;12;8;2025-10-03T11:34:45.764974241
SPARE-73;Spare Part 33;Description for spare part 33;RADIATOR;OUT_OF_STOCK;45;25;2025-10-03T11:34:45.765006655
SPARE-74;Spare Part 34;Description for spare part 34;CLUTCH;OUT_OF_STOCK;25;11;2025-10-03T11:34:45.765040776
SPARE-75;Spare Part 35;Description for spare part 35;GEARBOX;AVAILABLE;33;23;2025-10-03T11:34:45.765052704
SPARE-76;Spare Part 36;Description for spare part 36;BATTERY;OUT_OF_STOCK;43;23;2025-10-03T11:34:45.765061297
SPARE-77;Spare Part 37;Description for spare part 37;BRAKE;RESERVED;6;26;2025-10-03T11:34:45.765077269
SPARE-78;Spare Part 38;Description for spare part 38;TIRE;RESERVED;41;12;2025-10-03T11:34:45.765090365
SPARE-79;Spare Part 39;Description for spare part 39;ENGINE;RESERVED;14;47;2025-10-03T11:34:45.765099037
SPARE-80;Spare Part 40;Description for spare part 40;BATTERY;OUT_OF_STOCK;9;6;2025-10-03T11:34:45.765107515
SPARE-81;Spare Part 41;Description for spare part 41;RADIATOR;IN_TRANSIT;5;42;2025-10-03T11:34:45.765126067
SPARE-82;Spare Part 42;Description for spare part 42;RADIATOR;RESERVED;24;18;2025-10-03T11:34:45.765142786
SPARE-83;Spare Part 43;Description for spare part 43;BATTERY;DAMAGED;19;2;2025-10-03T11:34:45.766497755
SPARE-84;Spare Part 44;Description for spare part 44;BATTERY;RESERVED;20;42;2025-10-03T11:34:45.766527912
SPARE-85;Spare Part 45;Description for spare part 45;BRAKE;OUT_OF_STOCK;42;47;2025-10-03T11:34:45.766545937
SPARE-86;Spare Part 46;Description for spare part 46;TIRE;AVAILABLE;43;37;2025-10-03T11:34:45.766555494
SPARE-87;Spare Part 47;Description for spare part 47;RADIATOR;DAMAGED;23;11;2025-10-03T11:34:45.766573136
SPARE-88;Spare Part 48;Description for spare part 48;TIRE;IN_TRANSIT;7;28;2025-10-03T11:34:45.766583532
SPARE-89;Spare Part 49;Description for spare part 49;BRAKE;AVAILABLE;15;13;2025-10-03T11:34:45.766604770
SPARE-90;Spare Part 50;Description for spare part 50;CLUTCH;IN_TRANSIT;30;25;2025-10-03T11:34:45.766613740
SPARE-91;Spare Part 51;Description for spare part 51;RADIATOR;RESERVED;20;13;2025-10-03T11:34:45.766646770
SPARE-92;Spare Part 52;Description for spare part 52;BATTERY;DAMAGED;19;32;2025-10-03T11:34:45.766675498
SPARE-93;Spare Part 53;Description for spare part 53;CLUTCH;IN_TRANSIT;41;45;2025-10-03T11:34:45.767285249
SPARE-94;Spare Part 54;Description for spare part 54;GEARBOX;DAMAGED;34;18;2025-10-03T11:34:45.767326529
SPARE-95;Spare Part 55;Description for spare part 55;CLUTCH;OUT_OF_STOCK;5;21;2025-10-03T11:34:45.767345387
SPARE-96;Spare Part 56;Description for spare part 56;TIRE;IN_TRANSIT;8;24;2025-10-03T11:34:45.767366368
SPARE-97;Spare Part 57;Description for spare part 57;ENGINE;AVAILABLE;12;5;2025-10-03T11:34:45.767408218
SPARE-98;Spare Part 58;Description for spare part 58;BATTERY;OUT_OF_STOCK;38;6;2025-10-03T11:34:45.767431760
SPARE-99;Spare Part 59;Description for spare part 59;ENGINE;IN_TRANSIT;8;2;2025-10-03T11:34:45.767458125
SPARE-100;Spare Part 60;Description for spare part 60;GEARBOX;IN_TRANSIT;14;21;2025-10-03T11:34:45.768283291
